658331, EECO01, 2024-01-24 15:08:41, 03EFWNW347, None
658332, EECO02, 2024-01-24 15:08:41, 03EFWNW347, None
658333, EECO03, 2024-01-24 15:08:41, 03EFWNW347, None
658334, EECO04, 2024-01-24 15:08:41, 03EFWNW347, None
658335, EECO05, 2024-01-24 15:08:41, 03EFWNW347, None
658336, EECO06, 2024-01-24 15:08:41, 03EFWNW347, None
658337, EECO07, 2024-01-24 15:08:41, 03EFWNW347, None
658338, EECO08, 2024-01-24 15:08:41, 03EFWNW347, None
658339, EECO09, 2024-01-24 15:08:41, 03EFWNW347, None
658340, EECO10, 2024-01-24 15:08:41, 03EFWNW347, None
658341, EECO11, 2024-01-24 15:08:41, 03EFWNW347, None
658342, EECO12, 2024-01-24 15:08:41, 03EFWNW347, None
658343, EECO13, 2024-01-24 15:08:41, 03EFWNW347, None
658344, EECO14, 2024-01-24 15:08:41, 03EFWNW347, None
658345, PO1a1, 2024-01-24 15:08:41, 03EFWNW347, None
658346, PO1a1, 2024-01-24 15:08:42, 03EFWNW351, None
658347, PO1a1, 2024-01-24 15:08:42, 03EFWRP036, None
658348, EECO01, 2024-01-24 15:08:43, 03EFWSH049, None
658349, EECO02, 2024-01-24 15:08:43, 03EFWSH049, None
658350, EECO03, 2024-01-24 15:08:43, 03EFWSH049, None
658351, EECO04, 2024-01-24 15:08:43, 03EFWSH049, None
658352, EECO05, 2024-01-24 15:08:43, 03EFWSH049, None
658353, EECO06, 2024-01-24 15:08:43, 03EFWSH049, None
658354, EECO07, 2024-01-24 15:08:43, 03EFWSH049, None
658355, EECO08, 2024-01-24 15:08:43, 03EFWSH049, None
658356, EECO09, 2024-01-24 15:08:43, 03EFWSH049, None
658357, EECO10, 2024-01-24 15:08:43, 03EFWSH049, None
658358, EECO11, 2024-01-24 15:08:43, 03EFWSH049, None
658359, EECO12, 2024-01-24 15:08:43, 03EFWSH049, None
658360, EECO13, 2024-01-24 15:08:43, 03EFWSH049, None
658361, EECO14, 2024-01-24 15:08:43, 03EFWSH049, None
658362, PO1a1, 2024-01-24 15:08:43, 03EFWSH049, None
658363, EECO01, 2024-01-24 15:08:44, 03EFWST042, None
658364, EECO02, 2024-01-24 15:08:44, 03EFWST042, None
658365, EECO03, 2024-01-24 15:08:44, 03EFWST042, None
658366, EECO04, 2024-01-24 15:08:44, 03EFWST042, None
658367, EECO05, 2024-01-24 15:08:44, 03EFWST042, None
658368, EECO06, 2024-01-24 15:08:44, 03EFWST042, None
658369, EECO07, 2024-01-24 15:08:44, 03EFWST042, None
658370, EECO08, 2024-01-24 15:08:44, 03EFWST042, None
658371, EECO09, 2024-01-24 15:08:44, 03EFWST042, None
658372, EECO10, 2024-01-24 15:08:44, 03EFWST042, None
658373, EECO11, 2024-01-24 15:08:44, 03EFWST042, None
658374, EECO12, 2024-01-24 15:08:44, 03EFWST042, None
658375, EECO13, 2024-01-24 15:08:44, 03EFWST042, None
658376, EECO14, 2024-01-24 15:08:44, 03EFWST042, None
