34551, None, 34551, 2023-07-01 00:00:00, 2025-06-30 00:00:00, 0, m, 03EFVBY291, 2024-01-24 15:08:25, None
34552, None, 34552, 2023-07-01 00:00:00, 2025-06-30 00:00:00, 0, f, 03EFVBY291, 2024-01-24 15:08:25, None
34553, None, 34553, 2023-07-01 00:00:00, 2025-06-30 00:00:00, 0, f, 03EFVBY291, 2024-01-24 15:08:25, None
34569, None, 34569, 2023-07-01 00:00:00, 2025-06-30 00:00:00, 0, m, 03EFVBY291, 2024-01-24 15:08:25, None
37277, None, 37277, 2023-07-01 00:00:00, 2025-06-30 00:00:00, 0, m, 03EFVBY291, 2024-01-24 15:08:25, None
34662, None, 34662, 2023-06-01 00:00:00, 2024-11-30 00:00:00, 0, m, 03EFVNW326, 2024-01-24 15:08:26, None
34663, None, 34663, 2023-06-01 00:00:00, 2024-11-30 00:00:00, 0, m, 03EFVNW326, 2024-01-24 15:08:26, None
34664, None, 34664, 2023-06-01 00:00:00, 2024-11-30 00:00:00, 0, m, 03EFVNW326, 2024-01-24 15:08:26, None
31237, None, 31237, 2023-06-01 00:00:00, 2024-11-30 00:00:00, 0, m, 03EFVNW329, 2024-01-24 15:08:27, None
33989, None, 33989, 2023-06-01 00:00:00, 2024-11-30 00:00:00, 0, m, 03EFVNW329, 2024-01-24 15:08:27, None
33990, None, 33990, 2023-06-01 00:00:00, 2024-11-30 00:00:00, 0, m, 03EFVNW329, 2024-01-24 15:08:27, None
33991, None, 33991, 2023-06-01 00:00:00, 2024-11-30 00:00:00, 0, m, 03EFVNW329, 2024-01-24 15:08:27, None
32799, None, 32799, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, m, 03EFWBE148, 2024-01-24 15:08:28, None
35909, None, 35909, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, m, 03EFWBE148, 2024-01-24 15:08:28, None
35910, None, 35910, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, m, 03EFWBE148, 2024-01-24 15:08:28, None
35911, None, 35911, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, f, 03EFWBE148, 2024-01-24 15:08:28, None
32863, None, 32863, 2023-09-01 00:00:00, 2025-02-28 00:00:00, 0, m, 03EFWBE151, 2024-01-24 15:08:28, None
35249, None, 35249, 2023-09-01 00:00:00, 2025-02-28 00:00:00, 0, m, 03EFWBE151, 2024-01-24 15:08:28, None
35441, None, 35441, 2023-09-01 00:00:00, 2025-02-28 00:00:00, 0, f, 03EFWBE151, 2024-01-24 15:08:28, None
35442, None, 35442, 2023-09-01 00:00:00, 2025-02-28 00:00:00, 0, m, 03EFWBE151, 2024-01-24 15:08:28, None
32830, None, 32830, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, m, 03EFWBW263, 2024-01-24 15:08:29, None
35552, None, 35552, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, f, 03EFWBW263, 2024-01-24 15:08:29, None
35589, None, 35589, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, m, 03EFWBW263, 2024-01-24 15:08:29, None
35590, None, 35590, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, f, 03EFWBW263, 2024-01-24 15:08:29, None
32853, None, 32853, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, m, 03EFWBW264, 2024-01-24 15:08:30, None
32855, None, 32855, 2023-11-01 00:00:00, 2025-10-31 00:00:00, 0, m, 03EFWBW265, 2024-01-24 15:08:31, None
35949, None, 35949, 2023-11-01 00:00:00, 2025-10-31 00:00:00, 0, f, 03EFWBW265, 2024-01-24 15:08:31, None
35950, None, 35950, 2023-11-01 00:00:00, 2025-10-31 00:00:00, 0, m, 03EFWBW265, 2024-01-24 15:08:31, None
35952, None, 35952, 2023-11-01 00:00:00, 2025-10-31 00:00:00, 0, m, 03EFWBW265, 2024-01-24 15:08:31, None
32800, None, 32800, 2024-02-01 00:00:00, 2025-08-31 00:00:00, 0, f, 03EFWBY294, 2024-01-24 15:08:31, None
36761, None, 36761, 2024-02-01 00:00:00, 2025-08-31 00:00:00, 0, m, 03EFWBY294, 2024-01-24 15:08:31, None
36762, None, 36762, 2024-02-01 00:00:00, 2025-08-31 00:00:00, 0, m, 03EFWBY294, 2024-01-24 15:08:31, None
36763, None, 36763, 2024-02-01 00:00:00, 2025-08-31 00:00:00, 0, m, 03EFWBY294, 2024-01-24 15:08:31, None
32804, None, 32804, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, m, 03EFWBY298, 2024-01-24 15:08:32, None
35081, None, 35081, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, m, 03EFWBY298, 2024-01-24 15:08:32, None
35082, None, 35082, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, f, 03EFWBY298, 2024-01-24 15:08:32, None
35083, None, 35083, 2023-10-01 00:00:00, 2025-09-30 00:00:00, 0, f, 03EFWBY298, 2024-01-24 15:08:32, None
32805, None, 32805, 2023-11-01 00:00:00, 2025-10-31 00:00:00, 0, f, 03EFWBY299, 2024-01-24 15:08:33, None
35929, None, 35929, 2023-11-01 00:00:00, 2025-10-31 00:00:00, 0, m, 03EFWBY299, 2024-01-24 15:08:33, None
35930, None, 35930, 2023-11-01 00:00:00, 2025-10-31 00:00:00, 0, m, 03EFWBY299, 2024-01-24 15:08:33, None
