31909, EECO05, YES, 03EGTNW030, 2024-01-24 15:09:39, 126300, 2023, 1
33038, EECO01, YES, 03EGTNW032, 2024-01-24 15:09:39, 126301, 2023, 1
33039, EECO01, YES, 03EGTNW032, 2024-01-24 15:09:39, 126302, 2023, 1
33038, EECO03, YES, 03EGTNW032, 2024-01-24 15:09:40, 126303, 2023, 0
33039, EECO03, YES, 03EGTNW032, 2024-01-24 15:09:40, 126304, 2023, 0
33038, EECO06, YES, 03EGTNW032, 2024-01-24 15:09:40, 126305, 2023, 0
33039, EECO06, YES, 03EGTNW032, 2024-01-24 15:09:40, 126306, 2023, 0
33038, EECO07, YES, 03EGTNW032, 2024-01-24 15:09:40, 126307, 2023, 0
33039, EECO07, YES, 03EGTNW032, 2024-01-24 15:09:40, 126308, 2023, 0
33038, EECO08, YES, 03EGTNW032, 2024-01-24 15:09:40, 126309, 2023, 0
33039, EECO08, YES, 03EGTNW032, 2024-01-24 15:09:40, 126310, 2023, 0
33038, EECO12, YES, 03EGTNW032, 2024-01-24 15:09:40, 126311, 2023, 0
33039, EECO12, YES, 03EGTNW032, 2024-01-24 15:09:40, 126312, 2023, 0
33038, EECO13, YES, 03EGTNW032, 2024-01-24 15:09:40, 126313, 2023, 0
33039, EECO13, YES, 03EGTNW032, 2024-01-24 15:09:40, 126314, 2023, 0
33038, EECO14, YES, 03EGTNW032, 2024-01-24 15:09:40, 126315, 2023, 0
33039, EECO14, YES, 03EGTNW032, 2024-01-24 15:09:40, 126316, 2023, 0
33038, EECO09, YES, 03EGTNW032, 2024-01-24 15:09:40, 126317, 2023, 0
33039, EECO09, YES, 03EGTNW032, 2024-01-24 15:09:40, 126318, 2023, 0
33038, EECO10, YES, 03EGTNW032, 2024-01-24 15:09:40, 126319, 2023, 0
33039, EECO10, YES, 03EGTNW032, 2024-01-24 15:09:40, 126320, 2023, 0
33038, EECO11, YES, 03EGTNW032, 2024-01-24 15:09:40, 126321, 2023, 1
33039, EECO11, YES, 03EGTNW032, 2024-01-24 15:09:40, 126322, 2023, 1
33038, EECO02, YES, 03EGTNW032, 2024-01-24 15:09:40, 126323, 2023, 0
33039, EECO02, YES, 03EGTNW032, 2024-01-24 15:09:40, 126324, 2023, 0
33038, EECO04, YES, 03EGTNW032, 2024-01-24 15:09:40, 126325, 2023, 0
33039, EECO04, YES, 03EGTNW032, 2024-01-24 15:09:40, 126326, 2023, 0
33038, EECO05, YES, 03EGTNW032, 2024-01-24 15:09:40, 126327, 2023, 1
33039, EECO05, YES, 03EGTNW032, 2024-01-24 15:09:40, 126328, 2023, 1
33067, EECO01, YES, 03EGTNW033, 2024-01-24 15:09:40, 126329, 2023, 1
33066, EECO01, YES, 03EGTNW033, 2024-01-24 15:09:40, 126330, 2023, 1
33065, EECO01, YES, 03EGTNW033, 2024-01-24 15:09:40, 126331, 2023, 1
33067, EECO03, YES, 03EGTNW033, 2024-01-24 15:09:40, 126332, 2023, 0
33066, EECO03, YES, 03EGTNW033, 2024-01-24 15:09:40, 126333, 2023, 0
33065, EECO03, YES, 03EGTNW033, 2024-01-24 15:09:40, 126334, 2023, 0
33067, EECO06, YES, 03EGTNW033, 2024-01-24 15:09:40, 126335, 2023, 0
33066, EECO06, YES, 03EGTNW033, 2024-01-24 15:09:40, 126336, 2023, 0
33065, EECO06, YES, 03EGTNW033, 2024-01-24 15:09:40, 126337, 2023, 0
33067, EECO07, YES, 03EGTNW033, 2024-01-24 15:09:40, 126338, 2023, 1
33066, EECO07, YES, 03EGTNW033, 2024-01-24 15:09:40, 126339, 2023, 0
33065, EECO07, YES, 03EGTNW033, 2024-01-24 15:09:40, 126340, 2023, 0
33067, EECO08, YES, 03EGTNW033, 2024-01-24 15:09:40, 126341, 2023, 0
33066, EECO08, YES, 03EGTNW033, 2024-01-24 15:09:40, 126342, 2023, 0
33065, EECO08, YES, 03EGTNW033, 2024-01-24 15:09:40, 126343, 2023, 0
33067, EECO12, YES, 03EGTNW033, 2024-01-24 15:09:40, 126344, 2023, 0
33066, EECO12, YES, 03EGTNW033, 2024-01-24 15:09:40, 126345, 2023, 0
33065, EECO12, YES, 03EGTNW033, 2024-01-24 15:09:40, 126346, 2023, 0
33067, EECO13, YES, 03EGTNW033, 2024-01-24 15:09:40, 126347, 2023, 0
33066, EECO13, YES, 03EGTNW033, 2024-01-24 15:09:40, 126348, 2023, 0
33065, EECO13, YES, 03EGTNW033, 2024-01-24 15:09:40, 126349, 2023, 0
33067, EECO14, YES, 03EGTNW033, 2024-01-24 15:09:41, 126350, 2023, 0
33066, EECO14, YES, 03EGTNW033, 2024-01-24 15:09:41, 126351, 2023, 0
33065, EECO14, YES, 03EGTNW033, 2024-01-24 15:09:41, 126352, 2023, 0
33067, EECO09, YES, 03EGTNW033, 2024-01-24 15:09:41, 126353, 2023, 0
33066, EECO09, YES, 03EGTNW033, 2024-01-24 15:09:41, 126354, 2023, 0
33065, EECO09, YES, 03EGTNW033, 2024-01-24 15:09:41, 126355, 2023, 0
33067, EECO10, YES, 03EGTNW033, 2024-01-24 15:09:41, 126356, 2023, 1
33066, EECO10, YES, 03EGTNW033, 2024-01-24 15:09:41, 126357, 2023, 0
33065, EECO10, YES, 03EGTNW033, 2024-01-24 15:09:41, 126358, 2023, 0
33067, EECO11, YES, 03EGTNW033, 2024-01-24 15:09:41, 126359, 2023, 0
33066, EECO11, YES, 03EGTNW033, 2024-01-24 15:09:41, 126360, 2023, 1
33065, EECO11, YES, 03EGTNW033, 2024-01-24 15:09:41, 126361, 2023, 1
33067, EECO02, YES, 03EGTNW033, 2024-01-24 15:09:41, 126362, 2023, 0
33066, EECO02, YES, 03EGTNW033, 2024-01-24 15:09:41, 126363, 2023, 0
33065, EECO02, YES, 03EGTNW033, 2024-01-24 15:09:41, 126364, 2023, 0
33067, EECO04, YES, 03EGTNW033, 2024-01-24 15:09:41, 126365, 2023, 0
33066, EECO04, YES, 03EGTNW033, 2024-01-24 15:09:41, 126366, 2023, 0
33065, EECO04, YES, 03EGTNW033, 2024-01-24 15:09:41, 126367, 2023, 0
33067, EECO05, YES, 03EGTNW033, 2024-01-24 15:09:41, 126368, 2023, 1
33066, EECO05, YES, 03EGTNW033, 2024-01-24 15:09:41, 126369, 2023, 1
33065, EECO05, YES, 03EGTNW033, 2024-01-24 15:09:41, 126370, 2023, 0
33330, EECO01, YES, 03EGTNW034, 2024-01-24 15:09:41, 126371, 2023, 1
33329, EECO01, YES, 03EGTNW034, 2024-01-24 15:09:41, 126372, 2023, 1
33331, EECO01, YES, 03EGTNW034, 2024-01-24 15:09:41, 126373, 2023, 1
33330, EECO03, YES, 03EGTNW034, 2024-01-24 15:09:41, 126374, 2023, 0
